card_id|card_title|introduction|effect|responsive_effect|image|last_update_datetime
20250914-00136-c9d5ad0a|Vile Fen|[Persistent/Field]||At the end of our turn: deal 5 damage to the opponent.|pictures/veilfen.png|2025-09-13 21:20:34
20250914-00143-a4d9268d|Spirit Deer Charge||Remove 1 Mana from our field; treat as a monster (ATK 15 / DEF 0) that makes one attack. (If the opponent has no monsters or egg tokens, it may attack directly.)||pictures/deer.png|2025-09-13 21:20:34
20250914-00145-b0329d9f|Hallucination Rod|[Persistent/Equipment]|Equipped monster gains the skill **[Hallucinate]**: gain control of an enemy monster for 1 turn (it counts as ours and may attack the player if allowed).||pictures/hollow.png|2025-09-13 21:20:34
20250914-00146-55fed6ab|All Mana to One||Move all Mana from both fields onto one of our monsters.||pictures/sprint_return.png|2025-09-13 21:20:34
20250914-00147-af442b25|Spiritcore Sword|[Persistent/Equipment]|Equipped monster gets ATK +5, DEF +5. At each of our End Phases, remove 1 Mana from our field or destroy this card.||pictures/spring_altar.png|2025-09-13 21:20:34
20250914-00149-a35b2799|Sudden Brilliance||Mana +2, randomly distributed among our monsters.||pictures/spirit_shine.png|2025-09-13 21:20:34
20250914-00150-3469fc04|Holy Protection|[Persistent]|All our monsters gain DEF +3.||pictures/protection.png|2025-09-13 21:20:34
20250914-00151-9b3f45d9|Swift Steps||Choose one of our monsters; it can attack two extra times this turn.|When we declare an attack: another of our monsters gets ATK +10 for its next attack this turn.|pictures/speedup.png|2025-09-13 21:20:34
20250914-00152-382716de|Horn of Counterattack|The Prophet blows the horn at the perfect moment.|This turn, ATK/DEF buffs on our monsters are doubled.|When the opponent declares an attack: all our monsters gain DEF +5 this turn.|pictures/counterattack_horn.png|2025-09-13 21:20:34
20250914-00153-154accc4|Fatal Gift|Who can refuse a cute kitty?|Choose one of our Level ≤2 monsters; it attacks the opponent directly.||pictures/dangerous_gift.png|2025-09-13 21:20:34
20250914-00155-9bacd7e6|Holy Annihilation|Heaven’s sanction foretells Mother Earth’s disdain.||When a monster on the field is destroyed by battle: deal damage to the opponent equal to double its DEF.|pictures/light_boom.png|2025-09-13 21:20:34
20250914-00157-51750ecb|Golden Aegis|||When the opponent declares an attack: negate it; return a random face-up opponent card to their hand.|pictures/golden_protection.png|2025-09-13 21:20:34
20250914-00158-70ae9303|Desert Gust||Discard 1 card; bounce 1 opponent card to their hand.|After an opponent monster finishes an attack: one of our monsters makes an attack.|pictures/wind_attack.png|2025-09-13 21:20:34
20250914-00159-02c34605|Eye of Omniscience|||At the end of our turn: name a card. If it is in the opponent’s hand or Set zone, they must discard it. Repeat naming until we miss.|pictures/eye_power.png|2025-09-13 21:20:34
20250914-00160-5f03576b|Cold and Starve|An untimely chill and hunger arrive together.||When the opponent’s last monster is destroyed: also destroy 2 of their hand cards or 1 Prophecy.|pictures/cold_starve.png|2025-09-13 21:20:34
20250914-00161-d0481a3f|Break the Earth||(Only if no monsters are on the field) [Direct Summon] 1 Level ≤3 monster from the discard.||pictures/earth_breaking.png|2025-09-13 21:20:34
20250914-00162-305b76f7|Premature Omen|[Quick] The Prophet foretold your early arrival.|Flip-summon 1 additional monster. That monster is unaffected by opponent card effects this turn.||pictures/premature_birth_sign.png|2025-09-13 21:20:34
20250914-00163-e756a9b4|Altar Offering|[Quick]|During Set/placement, when summoning a high-level monster: required Mana −2.||pictures/offering.png|2025-09-13 21:20:34
20250914-00164-3e68b178|Heavenly Elixir|[Quick]|Mana +1; if [Celestial], gain +1 more.||pictures/sudden_spirit.png|2025-09-13 21:20:34
20250914-00165-7de150f1|Immortal Ladder||Additional summon 1 monster (Mana cost −1), then discard 1 random card.||pictures/god_land.png|2025-09-13 21:20:34
20250914-00166-5014b2ce|Mind’s Eye||Look at 1 Set card and 2 cards in the opponent’s hand; then return 1 Set card to their hand.||pictures/sky_eye.png|2025-09-13 21:20:34
20250914-00110-cabe95cc|Treasury Hoard|Treasure beneath General City.|Discard 1 from hand (or 1 field card, or remove 1 Mana); draw 2 cards.||pictures/land_gold.png|2025-09-15 20:03:24
20250914-00133-bb704bb0|End of Magic||All our monsters gain Mana +1. Then all our monsters lose all Mana and gain ATK + (their spent Mana × 5).||pictures/end_magic.png|2025-09-15 20:05:12
20250914-00134-c1a49d05|Veil Aroma|||When our Mana is removed or spent: 1 opponent monster permanently loses all skills, traits, and effects.|pictures/smell.png|2025-09-15 20:06:25
20250914-00144-eb7902c0|Skyshatter Rite||We take 10 damage; opponent takes 5 damage; one of our monsters gains Mana +3.|When the opponent spends ≥2 Mana at once: opponent takes 20 damage; we take 5 damage.|pictures/sky_prophecy.png|2025-09-15 20:07:21
20250914-00154-b5e7152a|Misfortune Flip|||When our hand card is discarded by a card effect: we gain 3 Mana, distributed freely among our field.|pictures/payback.png|2025-09-15 20:07:52
20250914-00092-4c0d9d5a|Dragon Palace of the East|[Persistent/Field]|Remove 2 Mana from our field and discard 1 card; then destroy 1 opponent field card.|When a [Chain] occurs: this card gains 1 Mana.|pictures/dragon_palace.png|2025-09-15 20:08:28
20250914-00090-b5362980|Bloodline Frenzy||Choose 1 monster; its next attack gains ATK +15. After that attack, we lose Faith 5.||pictures/blood_power.png|2025-09-15 20:09:14
20250914-00084-5b3ebb91|Blood Order||Choose 1 monster; it gains ATK +3, and the **battle damage** it deals this turn is doubled.||pictures/blood_kill.png|2025-09-15 20:09:46
20250914-00089-786f07be|Bounty Hit|||When we draw via an effect: this turn our **battle damage** +10.|pictures/reward_attack.png|2025-09-15 20:10:40
20250914-00093-7cbac0a7|Share Experience|||When one of our monsters is destroyed by battle: next turn all our monsters gain ATK + (that **battle damage** value).|pictures/share_exp.png|2025-09-15 20:10:57
20250914-00121-01986267|Rage Party|Get hyped.|All our monsters gain ATK + (our number of monsters). All opponent monsters gain DEF + (their number of monsters). **Battle damage** we deal this turn is doubled.||pictures/outrage.png|2025-09-15 20:11:13
20250914-00128-c09184b2|Forest Blessed Blade||Choose 1 of our monsters: it gains Mana +1 and ATK +5 on its next attack. After that attack: opponent takes effect damage equal to the battle damage, then draws 2 cards.||pictures/forest_sword.png|2025-09-15 20:12:06
20250914-00138-f3d93862|Endure and Rise|||When we take **battle damage**: discard X cards; draw (X + 2) cards.|pictures/oath.png|2025-09-15 20:12:24
20250914-00137-2b2d8462|Abyss of Mind|||After we deal any damage: this turn all **effect damage** the opponent takes is ×2.|pictures/abyss.png|2025-09-15 20:12:35
20250914-00140-0e578bd2|Mirror Return|||When we take **effect damage**: negate that damage and inflict the same amount to the opponent.|pictures/magic_mirrow.png|2025-09-15 20:13:05
20250914-00141-368b245d|Chasing Orb|||When the attacked opponent monster is not destroyed by battle: if our attacker’s ATK > that target’s original DEF, destroy it; then recalc **battle damage** using its original DEF (treated as **effect damage**), and gain its Mana.|pictures/targeted.png|2025-09-15 20:13:32
20250914-00126-6dec1a71|Phantom Vine|||When our monster is destroyed by an effect: its Mana is not absorbed; attach that Mana to this card and keep this card temporarily. At end of turn: [Direct Summon] that monster to our field, return its Mana and give +1 extra Mana; then destroy this card and attach it as Mana to that monster.|pictures/goost_plant.png|2025-09-15 20:15:03
20250914-00107-d6612c42|Hero’s Road|||When we draw a Monster: Faith −5; [Direct Summon] it. It is unaffected by opponent card effects this turn.|pictures/hero_honor.png|2025-09-15 20:15:55
20250914-00142-ceec901b|Herb Slope|[Persistent/Field]||When we take effect damage: if <5, negate it and put 1 Mana on this card; if ≥5, reduce the damage by 5.|pictures/nice_drug.png|2025-09-15 20:16:56
20250914-00122-d4fba450|Gathering Effect|The Prophet has amazing pull.|If we control any monster, we may make two additional summons.||pictures/follower.png|2025-09-15 20:21:24
20250914-00108-0b422ec4|Counter Throw|||When the opponent declares an attack: destroy 1 of our monsters; choose another of our monsters to gain ATK +15 and make an attack.|pictures/counter_attack.png|2025-09-15 20:57:13
20250914-00105-da0d2e16|Offense Trap|||After the opponent’s attack resolves: destroy 1 opponent monster.|pictures/attack_trap.png|2025-09-15 20:57:53
20250914-00135-0953c86a|Leyline Surge|||When our monster gains Mana: that monster’s next two attacks get ATK +2; this turn it may attack one extra time and use one extra skill.|pictures/activate.png|2025-09-15 20:58:18
20250914-00106-611eb915|Heaven-Borrowed Power||Choose 1 monster on the field: it gains ATK +10 until end of turn.|When our monster is attacked: that monster gains DEF +10 until end of turn.|pictures/temp_power.png|2025-09-15 20:58:40
20250914-00115-ed278268|Tri-Effect||(Activate only if we control exactly 3 monsters) Choose one:\n- Draw 3 cards.\n- Destroy all opponent Prophecies on the field.|(Activate only if we control exactly 3 monsters) When the opponent declares an attack: change its target to any of our monsters; then return this card to Set (face-down).|pictures/tri_effect.png|2025-09-15 20:59:30
20250914-00148-da553bbe|Thunder Grove|[Persistent]||After we summon a high-level monster (Lv>0): randomly destroy 1 face-up opponent card.|pictures/thunder_forest.png|2025-09-15 21:00:05
20250914-00156-953d1ac3|Lightning Doom||Choose 1 opponent monster that has a [Normal Trait]; destroy it.|When the opponent uses a Prophecy: if we control no other face-up Prophecies besides this, either negate and destroy that Prophecy, or destroy a different Prophecy.|pictures/lighting_destroy.png|2025-09-15 21:00:40
20250914-00102-05d4578e|Solemn Prophecy||You may use 1 extra Set (non-Equipment, non-Persistent) Prophecy that has been Set since your last turn; its (non-responsive) effect resolves twice.||pictures/serious_prophecy.png|2025-09-15 21:02:10
20250914-00111-0ae5233f|Fine Armaments|[Persistent/Equipment] The Prophet’s reserves.|Equipped monster gains ATK +1, DEF +4.||pictures/great_arm.png|2025-09-15 21:02:38
20250914-00096-869679be|Fate Entwined|||After we draw: the opponent guesses the card type (Monster/Prophecy).\n- If wrong: we may [Direct Summon] or use it.\n- If right: we may discard it and steal 1 card from the opponent’s hand or Set zone.|pictures/good_or_bad.png|2025-09-15 21:04:58
20250914-00086-28f94a8a|Shadow Feud|[Persistent] The Prophet said: behold, your ancestral grudge.|Condition: Only if last turn one of our X-type monsters was destroyed by battle by a Y-type monster, you may face this up.|When our X-type monster battles a Y-type monster: ATK +5.|pictures/generation_hate.png|2025-09-17 20:43:30
20250914-00087-832db507|Ocean Source||Choose a Level 0 [Fish] (or [Merfolk], or Water-type) monster; its next attack has ATK ×3.||pictures/stream.png|2025-09-17 20:43:56
20250914-00088-55ccd03e|Arrow Rain||Deal 5 damage to the opponent for each (face-up) monster we control.||pictures/arrows.png|2025-09-17 20:44:14
20250914-00091-b622f459|Bubble Assault|||When we declare an attack: that attack gains ATK +3. That attack shall not trigger opponent effects, and is unaffected by opponent [Persistent] Prophecies. The attacking monster refreshes its skill usage limit this turn.|pictures/bubble_attack.png|2025-09-17 20:45:30
20250914-00095-b4dfd233|Mana Backlash|||When the opponent declares an attack: negate that attack; the attacked monster may pay 1 Mana to destroy 1 opponent monster.|pictures/spirit_back.png|2025-09-17 20:46:13
20250914-00097-75eb5d70|Sea Storm|[Persistent]|(Cannot be used the turn it is flipped; and we must have at least 8 total cards in hand + field.) Discard all our field and hand cards; destroy all opponent field cards; then we draw 5 cards and return to our turn begins.||pictures/seastrom.png|2025-09-17 20:47:10
20250914-00098-562ba4d0|Sell the Sacred Fish||Opponent chooses and destroys 1 of our monsters. Then we draw until we have 5 cards in hand.||pictures/sale_god.png|2025-09-17 20:47:45
20250914-00113-e730eaaa|Army Surge|[Quick]|Gain 2 additional chances to summon monsters. At end of this turn, if they remain on the field, return them to hand.||pictures/more_monster.png|2025-09-17 20:49:23
20250914-00139-98e184c6|Orb Rebound|||When the opponent declares an attack: negate it; the attacked monster can remove 1 Mana to deal 14 damage to the opponent.|pictures/rebound.png|2025-09-17 20:59:25
20250914-00100-cfcc35af|Prophecy Chain||You may use 1 extra Prophecy afterwards. If that resolves successfully, flip and use 1 more Set Prophecy from the field.|After a [Chain] occurs during our turn: Prophecy uses are unlimited this turn.|pictures/continous_prophecy.png|2025-09-17 21:01:25
20250918-00001-b5a4a51c|Bagua Shade||Return 1 monster we control to our hand; then perform 1 Additional Summon (it may be the same monster).|When the opponent declares an attack: redirect that battle damage to the opponent. At the end of this turn: [Direct Summon] that monster which was destroyed by that battle to our field; then inflict 5 damage to the opponent.|pictures/bagua_shadow.png|2025-09-18 09:30:41
20250914-00114-25a553ae|Fool’s Axe|[Persistent/Equipment] Guided by the Prophet, a magic axe was found.|Equipped monster’s attributes are negated and it cannot use skills. ATK/DEF + 4.||pictures/fool_arc.png|2025-09-20 15:32:20
20250914-00085-35544896|Crab King Claw|[Persistent/Equipment]|Equipped monster gets ATK +2, DEF +2.|When our Faith decreases: the equipped monster gains +1 Mana.|pictures/krebs_weapon.png|2025-09-20 15:32:37
20250920-00169-8cef0a2e|Dragon’s Breath|||When we take effect damage: discard the top card of our deck. \n- Monster: destroy 1 opponent Set (face-down) card. \n- Prophecy: inflict 20 damage to the opponent.|pictures/dragon_boost.png|2025-09-20 15:33:50
20250920-00168-f9b7614b|Dragon Saddle|[Persistent/Equipment]|Equip to a face-up monster. The equipped monster’s original [Attr] is replaced with this [RespAttr]: “When the equipped monster destroys a Set (face-down) monster: inflict 5 damage to the opponent and we recover 5 Faith.”||pictures/dragon_ride.png|2025-09-20 15:34:29
20250926-00176-10041a8e|Laser Eyes||Destroy all opponent Set (face-down) Prophecies.||pictures/dragon_eyes.png|2025-09-26 21:08:03
20250926-00175-3660d45c|Dragon Roar Shield|||When the opponent declares an attack on our monster: that attacked monster gains DEF +10 for that battle; then the opponent takes damage equal to (that monster’s current DEF − the attacker’s current ATK), if positive.|pictures/dragon_shield.png|2025-09-26 21:08:11
20250926-00177-b2abbd29|Dragon Hoard|||When we discard cards from hand: place those discarded cards to our field Set (face-down); choose 1 of our monsters— it immediately makes that many attacks (equal to the number of cards discarded); then we recover Faith equal to (number of attacks × 5).|pictures/dragon_treasure.png|2025-09-26 21:08:17
20250926-00182-c6de7843|Citywide Ward||During the opponent’s next turn: negate all of their attack declarations against us.||pictures/city_shield.png|2025-09-26 22:20:52
20250926-00183-2f70d571|Lunar Purge|||When the opponent activates a Prophecy, a monster trait, or a monster skill: negate that effect/skill.|pictures/moon_purify.png|2025-09-26 22:27:46
20250926-00181-5137cff4|Assassination Penalty|||After we destroy an opponent monster by battle: opponent loses 15 Faith.|pictures/assa.png|2025-09-26 22:29:42
20250927-00185-7942104e|Brilliant Stratagem||Privately look at the top 5 cards of our deck; choose 1 to add to hand; return the rest to the top of our deck in random order.||pictures/good_strategy.png|2025-09-27 09:15:53
20250927-00187-969c40ed|Faith Drain||Opponent Faith −5; our Faith +5.||pictures/drain_life.png|2025-09-27 09:46:07
20250927-00188-52d20eba|Foresight||Look at all opponent Set (face-down) Prophecies and 2 random cards in their hand.||pictures/get_prophecy.png|2025-09-27 09:46:18
